#id	XCoord	YCoord	Zcorrd
1	4624553	5655818	119
2	4630131	5655739	114
3	4629233.86	5629699.71	508
4	4623539	5622933	877
5	4629432.85	5668662.85	213
6	4600397	5667007	157
7	4634147.11	5666928.3	400
8	4618656.39	5629447.46	785
9	4620563	5643791	365
10	4610807.26	5666372.66	110
11	4634147.11	5666928.3	240
12	4623183	5667440	227
13	4612939.33	5621901.09	761
14	4591318	5658091	308
15	4603192.19	5638392.45	430
16	4611169	5650845	214
17	4605350	5626200	385
18	4621947.44	5629667.14	720
19	4609997.77	5649664.4	385
